date,USDONTD156N
17/10/2013,0.1077
18/10/2013,0.109
21/10/2013,0.1066
22/10/2013,0.1051
23/10/2013,0.1051
24/10/2013,0.1026
25/10/2013,0.1024
28/10/2013,0.1033
29/10/2013,0.1035
30/10/2013,0.1024
31/10/2013,0.1037
01/11/2013,0.0999
04/11/2013,0.1014
05/11/2013,0.1024
06/11/2013,0.1023
07/11/2013,0.1017
08/11/2013,0.1021
11/11/2013,.
12/11/2013,0.1006
13/11/2013,0.1012
14/11/2013,0.1017
15/11/2013,0.1049
18/11/2013,0.1063
19/11/2013,0.1037
20/11/2013,0.1036
21/11/2013,0.1031
22/11/2013,0.1028
25/11/2013,0.1041
26/11/2013,0.1033
27/11/2013,0.1029
28/11/2013,.
29/11/2013,0.1047
02/12/2013,0.101
03/12/2013,0.1026
04/12/2013,0.1025
05/12/2013,0.103
06/12/2013,0.1041
09/12/2013,0.1037
10/12/2013,0.1021
11/12/2013,0.1015
12/12/2013,0.1013
13/12/2013,0.1
16/12/2013,0.1017
17/12/2013,0.1018
18/12/2013,0.1021
19/12/2013,0.102
20/12/2013,0.1018
23/12/2013,0.1011
24/12/2013,0.1007
25/12/2013,.
26/12/2013,.
27/12/2013,0.096
30/12/2013,0.096
31/12/2013,0.0795
01/01/2014,.
02/01/2014,0.0956
03/01/2014,0.095
06/01/2014,0.0945
07/01/2014,0.0926
08/01/2014,0.0925
09/01/2014,0.0919
10/01/2014,0.0918
13/01/2014,0.0921
14/01/2014,0.0921
15/01/2014,0.09
16/01/2014,0.0896
17/01/2014,0.0886
20/01/2014,.
21/01/2014,0.0896
22/01/2014,0.0901
23/01/2014,0.0898
24/01/2014,0.0887
27/01/2014,0.0866
28/01/2014,0.0851
29/01/2014,0.0847
30/01/2014,0.085
31/01/2014,0.0862
03/02/2014,0.0855
04/02/2014,0.085
05/02/2014,0.085
06/02/2014,0.085
07/02/2014,0.0856
10/02/2014,0.0856
11/02/2014,0.085
12/02/2014,0.0865
13/02/2014,0.086
14/02/2014,0.0856
17/02/2014,.
18/02/2014,0.084
19/02/2014,0.0861
20/02/2014,0.0865
21/02/2014,0.0865
24/02/2014,0.0874
25/02/2014,0.0876
26/02/2014,0.0882
27/02/2014,0.0887
28/02/2014,0.09
03/03/2014,0.0878
04/03/2014,0.0883
05/03/2014,0.0879
06/03/2014,0.0876
07/03/2014,0.0877
10/03/2014,0.0901
11/03/2014,0.0885
12/03/2014,0.0889
13/03/2014,0.0879
14/03/2014,0.0878
17/03/2014,0.0886
18/03/2014,0.0885
19/03/2014,0.089
20/03/2014,0.0885
21/03/2014,0.0905
24/03/2014,0.0903
25/03/2014,0.0904
26/03/2014,0.0903
27/03/2014,0.0908
28/03/2014,0.0899
31/03/2014,0.0855
01/04/2014,0.0884
02/04/2014,0.0874
03/04/2014,0.0881
